artworkTitle,tracker,genre,artistName,artistURL,artistBio,birth,death,Nationality,pointYear,stack,artworkURL,artworkIMG,artworkShape,,
Window at Nice,47,Fauvism,Raoul Dufy,https://www.moma.org/artists/1646,"(French, 1877-1953)",1877,1953,(French),1929,3,https://www.moma.org/collection/works/79335,https://www.moma.org/media/W1siZiIsIjI0NDIyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dbdb7733a61611d6,vert,,
The Swimmer in the Tank,48,Expressionism,Henri Matisse,https://www.moma.org/artists/3832,"(French, 1869-1954)",1869,1954,(French),1947,4,https://www.moma.org/collection/works/105390,https://www.moma.org/media/W1siZiIsIjEwOTYyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e77b8e05a986ab1e,horz,,
Still Life after Jan Davidsz de Heem,49,Expressionism,Henri Matisse,https://www.moma.org/artists/3832,"(French, 1869-1954)",1869,1954,(French),1915,4,https://www.moma.org/collection/works/79872,https://www.moma.org/media/W1siZiIsIjE2NDM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1f3c9950f17b095,horz,,
Dance (I),50,Expressionism,Henri Matisse,https://www.moma.org/artists/3832,"(French, 1869-1954)",1869,1954,(French),1909,4,https://www.moma.org/collection/works/79124,https://www.moma.org/media/W1siZiIsIjQ3NzE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=27a4ad073182cf2f,horz,,
Joyous Ascent,51,Expressionism,Vasily Kandinsky,https://www.moma.org/artists/2981,"(French, born Russia. 1866-1944)",1866,1944,(French),1923,4,https://www.moma.org/collection/works/74408,https://www.moma.org/media/W1siZiIsIjExNDgzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=30cb96137df69369,vert,,
Soft Pressure,52,Expressionism,Vasily Kandinsky,https://www.moma.org/artists/2981,"(French, born Russia. 1866-1944)",1866,1944,(French),1931,4,https://www.moma.org/collection/works/80496,https://www.moma.org/media/W1siZiIsIjE1MDk0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0d48f0eefd10126a,horz,,
Madonna,53,Expressionism,Edvard Munch,https://www.moma.org/artists/4164,"(Norwegian, 1863-1944)",1863,1944,(Norwegian),1902,4,https://www.moma.org/collection/works/62017,https://www.moma.org/media/W1siZiIsIjQ0NTY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5bfe41f8e8f1bc08,vert,,
Vampire II (Vampyr II),54,Expressionism,Edvard Munch,https://www.moma.org/artists/4164,"(Norwegian, 1863-1944)",1863,1944,(Norwegian),1902,4,https://www.moma.org/collection/works/75893,https://www.moma.org/media/W1siZiIsIjIxMTk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=960f4b24e6181bb6,horz,,
Poster for 49th Exhibit. of the Vienna Secession,55,Expressionism,Egon Schiele,https://www.moma.org/artists/5215,"(Austrian, 1890-1918)",1890,1918,(Austrian),1918,4,https://www.moma.org/collection/works/60325,https://www.moma.org/media/W1siZiIsIjE2NzQ0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=25edffda9cf4d969,vert,,
"Street, Berlin",56,Expressionism,Ernst Ludwig Kirchner,https://www.moma.org/artists/3115,"(German, 1880-1938)",1880,1938,(German),1913,4,https://www.moma.org/collection/works/79354,https://www.moma.org/media/W1siZiIsIjMyMTkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=437e44383fb1bf4f,vert,,
"Street, Dresden",57,Expressionism,Ernst Ludwig Kirchner,https://www.moma.org/artists/3115,"(German, 1880-1938)",1880,1938,(German),1908,4,https://www.moma.org/collection/works/78426,https://www.moma.org/media/W1siZiIsIjQyODY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=882b18ff86dba045,horz,,
Blue Horse with Rainbow,58,Expressionism,Franz Marc,https://www.moma.org/artists/3748,"(German, 1880-1916)",1880,1916,(German),1913,4,https://www.moma.org/collection/works/32978,https://www.moma.org/media/W1siZiIsIjEzNTE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4ebd191c07420421,horz,,
Doctor Emma Veronika Sanders,59,Expressionism,Oskar Kokoschka,https://www.moma.org/artists/3197,"(Austrian, 1886-1980)",1886,1980,(Austrian),1909,4,https://www.moma.org/collection/works/80707,https://www.moma.org/media/W1siZiIsIjE1MTE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=586a1d94ca4f4f73,vert,,
Woman in an Armchair,60,Cubism,Pablo Picasso,https://www.moma.org/artists/4609,"(Spanish, 1881-1973)",1881,1973,(Spanish),1941,5,https://www.moma.org/collection/works/80396,https://www.moma.org/media/W1siZiIsIjE1MTUwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=06ffb9dd6421e1f2,vert,,
"Bull's Head, Turned to the Left",61,Cubism,Pablo Picasso,https://www.moma.org/artists/4609,"(Spanish, 1881-1973)",1881,1973,(Spanish),1948,5,https://www.moma.org/collection/works/74040,https://www.moma.org/media/W1siZiIsIjE2MzU0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=23dddf94b7940587,vert,,
Woman in an Armchair,62,Cubism,Pablo Picasso,https://www.moma.org/artists/4609,"(Spanish, 1881-1973)",1881,1973,(Spanish),1962,5,https://www.moma.org/collection/works/79928,https://www.moma.org/media/W1siZiIsIjE3MTE1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bc108d0023921024,vert,,
Seated Woman,63,Cubism,Pablo Picasso,https://www.moma.org/artists/4609,"(Spanish, 1881-1973)",1881,1973,(Spanish),1927,5,https://www.moma.org/collection/works/79895,https://www.moma.org/media/W1siZiIsIjE1OTEzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=61117e3952a1ca50,vert,,
Woman Dressing Her Hair,64,Cubism,Pablo Picasso,https://www.moma.org/artists/4609,"(Spanish, 1881-1973)",1881,1973,(Spanish),1940,5,https://www.moma.org/collection/works/80360,https://www.moma.org/media/W1siZiIsIjE1MTQ4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea8543db5670fd21,vert,,
Portrait of Igor Stravinsky,65,Cubism,Albert Gleizes,https://www.moma.org/artists/2191,"(French, 1881-1953)",1881,1953,(French),1914,5,https://www.moma.org/collection/works/95069,https://www.moma.org/media/W1siZiIsIjE3MzIyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da0957441c51bd15,vert,,
"Study for Cinematic Mural, Study IV",66,Cubism,Fernand Leger,https://www.moma.org/artists/6624,"(French, 1881-1955)",1881,1955,(French),1939,5,https://www.moma.org/collection/works/37918,https://www.moma.org/media/W1siZiIsIjIxMTg2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=299af10fd523c460,vert,,
Road near L'Estaque,67,Cubism,Georges Braque,https://www.moma.org/artists/744,"(French, 1882-1963)",1882,1963,(French),1908,5,https://www.moma.org/collection/works/78787,https://www.moma.org/media/W1siZiIsIjE1MDk0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3408b31f82138edc,vert,,
